id,quantity,price,name,datetime
173,1,2.95,Plain Rice,2019-08-02 18:41:00
174,2,3.95,Mushroom Rice,2019-08-02 18:41:00
175,1,2.95,Garlic Naan,2019-08-02 18:41:00
176,1,2.95,Keema Naan,2019-08-02 18:41:00
177,1,2.95,Peshwari Naan,2019-08-02 18:41:00
178,10,0.8,Plain Papadum,2019-08-02 18:41:00
179,2,0.8,Spicy Papadum,2019-08-02 18:41:00
180,2,0.5,Mango Chutney,2019-08-02 18:41:00
181,6,0.5,Onion Chutney,2019-08-02 18:41:00
182,4,0.5,Red Sauce,2019-08-02 18:41:00
183,2,0.5,Mint Sauce,2019-08-02 18:41:00
184,1,7.95,Vindaloo - Chicken,2019-08-02 18:18:00
185,1,7.95,Madras - Chicken Tikka,2019-08-02 18:18:00
186,2,2.95,Plain Rice,2019-08-02 18:18:00
187,2,2.6,Plain Naan,2019-08-02 18:18:00
188,1,7.95,Madras - Chicken,2019-08-02 18:18:00
189,4,0.8,Plain Papadum,2019-08-02 18:18:00
190,1,5.95,Bombay Aloo,2019-08-02 18:18:00
191,1,8.95,Chicken Tikka Jalfrezi,2019-08-02 17:57:00
192,1,2.95,Pilau Rice,2019-08-02 17:57:00
193,2,0.8,Plain Papadum,2019-08-02 17:57:00
194,1,0.8,Spicy Papadum,2019-08-02 17:57:00
195,1,3.95,Vindaloo Sauce,2019-08-02 17:57:00
196,1,3.95,Onion Bhajee,2019-08-02 17:43:00
197,1,0.5,Mango Chutney,2019-08-02 17:43:00
198,1,3.95,Meat Samosa,2019-08-02 17:43:00
199,1,5.95,Chicken Pakora,2019-08-02 17:43:00
200,1,9.95,Lamb Biryani,2019-08-02 17:43:00
201,1,9.95,Chicken Biryani,2019-08-02 17:43:00
202,1,10.95,Chicken Tikka Biryani,2019-08-02 17:43:00
203,1,5.95,Aloo Gobi,2019-08-02 17:43:00
204,1,8.95,Chicken Tikka Jalfrezi,2019-08-02 17:26:00
205,1,5.95,Bombay Aloo,2019-08-02 17:26:00
206,1,5.95,Chana Masala,2019-08-02 17:26:00
207,1,8.95,Dupiaza - Chicken,2019-08-02 17:26:00
208,1,2.95,Keema Naan,2019-08-02 17:26:00
209,1,2.95,Pilau Rice,2019-08-02 17:26:00
210,1,3.95,Mushroom Rice,2019-08-02 17:26:00
211,1,5.95,Muttar Paneer,2019-08-02 14:11:00
212,1,2.95,Garlic Naan,2019-08-02 14:11:00
213,1,3.95,Mushroom Rice,2019-08-02 14:11:00
214,1,2.6,Plain Naan,2019-08-02 14:11:00
215,2,8.95,Chicken Tikka (Main),2019-08-02 11:35:00
216,1,11.95,Tandoori Mixed Grill,2019-08-02 11:35:00
217,1,8.95,Chicken Tikka Masala,2019-08-02 11:35:00
218,1,7.95,Curry - Chicken,2019-08-02 11:35:00
219,2,5.95,Bombay Aloo,2019-08-02 11:35:00
220,1,5.95,Muttar Paneer,2019-08-02 11:35:00
221,4,2.6,Plain Naan,2019-08-02 11:35:00
222,4,2.95,Pilau Rice,2019-08-02 11:35:00
223,1,3.95,Keema Rice,2019-08-02 11:35:00
224,1,4.95,Aloo Chaat,2019-08-02 11:35:00
225,1,9.95,Chicken Balti,2019-08-02 11:35:00
226,1,9.95,Chicken Shashlick,2019-08-02 11:35:00
227,1,9.95,Vegetable Balti,2019-08-02 11:35:00
228,1,5.95,Cauliflower Bhajee,2019-08-02 11:35:00
229,1,7.95,Vindaloo - Chicken,2019-08-02 11:35:00
230,1,9.95,Butter Chicken,2019-08-01 20:42:00
231,1,10.95,Prawn Balti,2019-08-01 20:42:00
232,1,8.95,Tandoori Chicken Masala,2019-08-01 19:51:00
233,1,7.95,Curry - Chicken,2019-08-01 19:51:00
234,1,5.95,Aloo Gobi,2019-08-01 19:51:00
235,1,2.6,Plain Naan,2019-08-01 19:51:00
236,1,2.95,Pilau Rice,2019-08-01 19:51:00
237,1,0.8,Plain Papadum,2019-08-01 19:51:00
238,1,0.5,Red Sauce,2019-08-01 19:51:00
239,1,0.5,Mango Chutney,2019-08-01 19:51:00
240,1,5.95,Mixed Starter,2019-08-01 19:51:00
241,1,7.95,Madras - Lamb,2019-08-01 19:16:00
242,1,3.95,Mushroom Rice,2019-08-01 19:16:00
243,1,3.95,French Fries,2019-08-01 19:16:00
244,2,8.95,Korma - Chicken,2019-08-01 19:16:00
245,1,2.6,Plain Naan,2019-08-01 19:16:00
246,1,2.95,Garlic Naan,2019-08-01 19:16:00
247,4,0.8,Plain Papadum,2019-08-01 18:45:00
248,2,8.95,Pathia - Chicken Tikka,2019-08-01 18:45:00
249,1,5.95,COBRA ( LARGE ),2019-08-01 18:45:00
250,1,17.95,House white wine 75cl,2019-08-01 18:45:00
251,2,2.95,Pilau Rice,2019-08-01 18:45:00
252,1,4.95,Lamb Tikka,2019-08-01 18:41:00
253,1,0.5,Lime Pickle,2019-08-01 18:41:00
254,1,0.5,Onion Chutney,2019-08-01 18:41:00
255,1,2.95,Plain Rice,2019-08-01 18:41:00
256,1,12.95,King Prawn Shaslick,2019-08-01 18:41:00
257,2,5.95,COBRA ( LARGE ),2019-08-01 18:41:00
258,1,10.95,Chicken Tikka Biryani,2019-08-01 18:21:00
259,1,3.95,Stuffed Paratha,2019-08-01 18:21:00
260,1,3.95,Meat Samosa,2019-08-01 18:21:00
261,1,2.95,Plain Rice,2019-08-01 18:02:00
262,2,2.6,Plain Naan,2019-08-01 18:02:00
263,1,5.95,Mixed Vegetable Curry,2019-08-01 18:02:00
264,1,5.95,Aloo Gobi,2019-08-01 18:02:00
265,1,3.95,Curry Sauce,2019-08-01 18:02:00
266,1,0.5,Mango Chutney,2019-08-01 18:02:00
267,1,2.95,Raitha,2019-08-01 18:02:00
268,1,7.95,Madras - Chicken,2019-08-01 17:59:00
269,1,2.6,Plain Naan,2019-08-01 17:59:00
270,1,2.95,Bottle Diet Coke,2019-08-01 17:59:00
271,1,2.95,Plain Rice,2019-08-01 17:59:00
272,1,5.95,Bombay Aloo,2019-08-01 17:34:00
273,1,8.95,Chicken Tikka Jalfrezi,2019-08-01 17:34:00
274,1,3.95,Mushroom Rice,2019-08-01 17:34:00
275,2,0.8,Plain Papadum,2019-08-01 17:34:00
276,1,5.95,Cauliflower Bhajee,2019-08-01 13:33:00
277,1,8.95,Dhansak - Chicken,2019-08-01 13:33:00
278,2,5.95,Tarka Dall,2019-08-01 13:33:00
279,1,5.95,Saag Dall,2019-08-01 13:33:00
280,2,7.95,Vindaloo - Chicken,2019-08-01 12:33:00
281,1,3.95,Special Fried Rice,2019-08-01 12:33:00
